ID,First Name,Last Name,Age,Gender,Department,Salary,Date of Joining
1,John,Doe,25,M,Sales,50,1/1/2020
2,Jane,Smith,30,F,Marketing,60,6/1/2018
3,Bod,Johnson,45,M,HR,70,9/1/2016
4,Alice,Williams,33,F,IT,80,2/1/2017
5,James,Brown,27,M,Sales,55,3/1/2019
6,Sarah,Lee,32,F,Marketing,65,12/1/2018
7,Michael,Davis,39,M,HR,,8/1/2015
8,Susan,Miller,42,F,IT,90,11/1/2014
9,David,Wilson,28,M,Sales,60,5/1/2020
10,Emily,Brown,35,F,Marketing,55,4/1/2017
11,John,Doe,25,M,Sales,50,1/1/2020
12,John,Doe,25,M,Sales,50,1/1/2020
